id,x,y,floor
ladder_mramor_dop_1,1835,435,1
ladder_mramor_1,1665,855,1
lift,705,1195,1
toilet_1,2735,1485,1
room_152,1705,345,1
to_152,1705,435,1
room_151,1645,555,1
to_151,1715,555,1
room_153,1805,575,1
to_153,1715,575,1
room_154,1805,765,1
to_154,1715,765,1
room_155,1805,855,1
to_155,1715,855,1
tk,355,1675,1
to_tk,685,1675,1
ladder_under,1575,1335,1
main_ladder_1,595,1315,1
to_main_ladder_1,685,1465,1
room_150,1225,665,1
corr_marmor_1,1685,1045,1
to_150,1225,735,1
centre_mramor_1,1315,1045,1
ladder_sport_1,2805,725,1
to_ladder_sport_1,2805,805,1
room_sport_1,2575,645,1
to_spotr_1,2575,805,1
corr_sport_1,2485,805,1
room_108,2685,1355,1
to_108,2685,1455,1
room_110,2725,1565,1
room_109,2635,1545,1
to_109,2635,1455,1
room_105,2505,1535,1
too_105_and_centre,2495,1445,1
room_103,2385,1535,1
to_103,2385,1445,1
room_104,2285,1355,1
to_104,2285,1445,1
room_107,2235,1535,1
to_107,2235,1445,1
room_101,1955,1545,1
to_101,1955,1455,1
room_102,1895,1355,1
to_102,1895,1455,1
room_100,1575,1615,1
to_100,1575,1465,1
centre_corr,1305,1465,1
enter,1305,1735,1
